source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Youtube.com,"College basketball rankings: Top 25, Power 36 two weeks from Selection Sunday - NCAA March Madness",0.0,0,0.583361,0.0,0.0,0.0,0.0
Lamag.com,Snoop Dogg Lakers Rant: Snoop Is Not Impressed with This Season - LA Magazine,0.0,0,0.0,0.0,0.0,0.0,0.0
Cbssports.com,Bracketology Bubble Watch: Texas and TCU have important games plus conference tournament games begin - CBS Sports,0.0,0,0.68449,0.0,0.0,0.0,0.0
Hotnewhiphop.com,"Reggie Miller Calls Out ""Soft and Sensitive"" NBA Following Trae Young Ejection - HotNewHipHop",0.0,0,0.0,0.0,0.0,0.0,0.0
Freep.com,Detroit Red Wings greats on what made Ted Lindsay memorable across decades - Detroit Free Press,0.0,0,0.726741,0.0,0.532616,0.0,0.0
Youtube.com,Lakers Interview: Luke Walton on If the Lakers Are Better After The Zubac Trade w/ the Clippers - Lakers Nation,0.0,0,0.546258,0.0,0.0,0.0,0.0
Truebluela.com,Clayton Kershaw may miss Opening Day start - True Blue LA,0.0,0,0.0,0.611814,0.0,0.0,0.0
Dailyknicks.com,New York Knicks: A King’s Landing in Sacramento - FanSided,0.0,0,0.0,0.0,0.0,0.0,0.0
Nbcsports.com,"Raiders make most sense for Antonio Brown, Peter King says - NBCSports.com",0.0,0,0.510515,0.0,0.0,0.0,0.0
Www.sny.tv,No indication Giants will cut or restructure contract of Janoris Jenkins - SNY.tv,0.0,0,0.0,0.0,0.821913,0.0,0.716301
Radio.com,"Ignas Brazdeikis On Maryland Fans, ""My Girls The Baddest Tho So I Stay Winning,"" See Her Photos - 97.1 The Ticket",0.0,0,0.651287,0.0,0.0,0.0,0.0
Abc13.com,Houston Texans place franchise tag on Jadeveon Clowney - KTRK-TV,0.0,0,0.0,0.0,0.0,0.0,0.0
Youtube.com,Keith Mitchell's winning highlights from Honda 2019 - PGA TOUR,0.0,0,0.638922,0.0,0.0,0.0,0.0
Atlantafalcons.com,NFL Draft: 5 defensive tackle prospects who could help the Falcons - AtlantaFalcons.com,0.0,0,0.0,0.0,0.0,0.0,0.716301
Yahoo.com,Why Jim Delany retiring is a good thing for college football - Yahoo Sports,0.0,0,0.683724,0.0,0.0,0.0,0.0
Slipperstillfits.com,College basketball rankings: Zags still the No. 1 team in the nation - The Slipper Still Fits,0.0,0,0.0,0.0,0.0,0.0,0.0
Radio.com,Alex Cora zeroes in on Dustin Pedroia's debut - WEEI,0.0,0,0.0,0.0,0.0,0.0,0.0
Boston.com,Watch Kyrie Irving's full press conference after the Celtics lost to the Rockets - Boston.com,0.0,0,0.0,0.50769,0.0,0.0,0.0
Behindthesteelcurtain.com,It's not a surprise so many teams are reportedly interested in trading for Antonio Brown - Behind the Steel Curtain,0.0,0,0.0,0.0,0.0,0.0,0.0
Si.com,"Bryce Harper joke: Colin Jost slams Philly, to appear on WWE Raw - Sports Illustrated",0.0,0,0.0,0.0,0.61476,0.0,0.681699
Espn.com,MVP? Champion? Captain? Expectations sky-high for Aaron Judge in Year 3 - ESPN,0.0,0,0.0,0.0,0.845282,0.0,0.0
Radio.com,Brad Stevens needs to change his rotation - WEEI,0.0,0,0.0,0.0,0.0,0.0,0.0
Dallasobserver.com,Dallas Cowboys and David Irving Appear To Part Ways For Good - Dallas Observer,0.0,0,0.674748,0.0,0.0,0.0,0.716301
FourFourTwo,Ole Gunnar Solskjaer heads to Paris weakened in number – but high in confidence - FourFourTwo,0.0,0,0.555846,0.0,0.0,0.751512,0.0
Youtube.com,Victory Lane: Joey Logano celebrates Vegas win - NASCAR,0.0,0,0.745965,0.0,0.0,0.0,0.0
Clemsontigers.com,Tigers Seeded Seventh in ACC Tournament – Clemson Tigers Official Athletics Site - clemsontigers.com,0.0,0,0.0,0.0,0.0,0.0,0.0
Youtube.com,Linebackers Run the 40-Yard Dash | 2019 NFL Scouting Combine Highlights - NFL,0.0,0,0.0,0.0,0.0,0.0,0.0
