,source,date,title,description
0,Billboard.com,2019-03-03T20:00:09Z,Lady Gaga & Bradley Cooper's 'A Star Is Born' Soundtrack Back at No. 1 on Billboard 200 Post-Oscars - Billboard,"Plus: Gunna, Offset, Gary Clark Jr., Lil Pump and Kehlani all debut in the top 10."
1,Buffalonews.com,2019-03-03T19:13:55Z,SNL's 'Weekend Update' takes its shot at Bills - Buffalo News,"The Bills have often been the butt of jokes, and the testimony from Donald Trump's former lawyer, Michael Cohen, that Trump inflated his ..."
2,Cheatsheet.com,2019-03-03T19:00:18Z,When Are the Jonas Brothers Releasing a New Album? - The Cheat Sheet,"The Jonas Brothers are finally back with a new song. Is a new album coming soon, too?"
3,Vulture.com,2019-03-03T18:59:17Z,Johnny Depp Is Now Reportedly Suing Amber Heard for Defamation - Vulture,In response to Heard’s op-ed about his alleged domestic abuse.
4,Mlb.com,2019-03-03T18:51:00Z,A new 'The Sandlot' TV series is in the works - MLB.com,The Official Site of Major League Baseball
5,Fox News,2019-03-03T18:11:51Z,Chip and Joanna Gaines donate baby Crew’s outgrown bassinet to fan who is ‘finally expecting’ - Fox News,The “Fixer Upper” couple is proving they don’t need a television show to make dreams come true.
6,Cosmopolitan.com,2019-03-03T18:09:00Z,Travis Scott Subtly Addressed Those Kylie Jenner Cheating Rumors at His Concert Last Night - Cosmopolitan.com,So are things all good with these two?
7,Newson6.com,2019-03-03T17:47:46Z,'The Voice' Contestant Janice Freeman Dead at 33 - News On 6,
8,Tmz.com,2019-03-03T17:29:00Z,Roseanne Barr Calls #MeToo Movement Hollywood 'Hos' with No Self-Respect - TMZ,Roseanne Barr calls #MeToo movement Hollywood 'Hos' with no self-respect.
9,Tasteofcountry.com,2019-03-03T17:14:00Z,Thomas Rhett Gets a Little Help From His Wife on 'SNL' - Taste of Country,"It was Rhett's first time on the famed show, but he had his wife there for support--and a bit of assistance!"
10,Essence.com,2019-03-03T17:12:06Z,Werk It: Grace Jones Stuns Paris Fashion Week With Epic Catwalk! - Essence,The 70-year-old (!)  icon closed the Tommy Hilfiger x Zendaya show — and she killed it!
11,Pagesix.com,2019-03-03T17:12:00Z,Steven Spielberg criticized for plan to block Netflix from Oscars - Page Six,"Spielberg, a current governor of the Academy’s directors branch, plans to propose changes to Oscars eligibility rules."
12,Boxofficemojo.com,2019-03-03T17:09:31Z,'How to Train Your Dragon 3' Holds off Madea's 'Family Funeral' at Box Office - Box Office Mojo,'How to Train Your Dragon 3' Holds off Madea's 'Family Funeral' at Box Office
13,Cosmopolitan.com,2019-03-03T17:07:00Z,Meghan Markle and Prince Harry Have Been Making Secret Trips to Visit Meg's Mom Doria Ragland in Los Angeles - Cosmopolitan.com,How'd they pull that off?!
14,Eonline.com,2019-03-03T16:59:00Z,Pete Davidson and Kate Beckinsale Reunite at SNL Party - E! NEWS,The <i>SNL</I> star and comedian and British actress sparked romance rumors earlier this year.
15,Pagesix.com,2019-03-03T16:36:00Z,Danielle Staub postpones wedding to Oliver Maier - Page Six,The “Real Housewives of New Jersey” star isn't saying “I do” just yet.
16,Aol.com,2019-03-03T16:34:27Z,'SNL' takes on Smollett controversy in 'Shark Tank' spoof - AOL,Controversial lawyers listened to pitches from celebrities in hot water pleading with them to take their cases .
17,Ksl.com,2019-03-03T16:29:59Z,"How 'tidying up' like Marie Kondo declutters your home, helps your wallet - KSL.com","House cleaning is one of the hottest consumer trends right now, thanks to Netflix’s, “Tidying Up with Marie Kondo.”"
18,The Washington Post,2019-03-03T15:58:51Z,"SNL parodied the Cohen hearings, with help from Ben Stiller and Bill Hader - The Washington Post","""Saturday Night Live"" spoofed Michael Cohen’s seven-hour testimony on Capitol Hill."
19,USA Today,2019-03-03T15:53:00Z,"'Real Housewives of Atlanta' star Peter Thomas, Cynthia Bailey's ex, arrested for fraud - USA TODAY","'Real Housewives of Atlanta' star Cynthia Bailey's ex-husband, Peter Thomas, spent the night in a Miami jail after being arrested on fraud charges."
20,Cosmopolitan.com,2019-03-03T15:22:00Z,"Kylie Jenner Is ""Still Devastated"" About the Whole Jordyn Woods Situation - Cosmopolitan.com",She's dealing with a lot right now...
21,Hollywoodreporter.com,2019-03-03T14:45:00Z,Why 'Captain Marvel' Sequel Should Introduce the X-Men - Hollywood Reporter,'Captain Marvel 2' could be the perfect place to introduce the mutants into the MCU following the Disney-Fox merger.
22,Fox News,2019-03-03T14:20:33Z,'Sanford and Son' star Nathaniel Taylor dead at 80 - Fox News,"Nathaniel Taylor, the actor best known as Rollo Lawson, the street-smart best friend of the son on the 1970s sitcom ""Sanford and Son,"" has died."
