source,date,title,description
Scitechdaily.com,2019-03-05T02:43:44Z,Why So Many Planets Outside Our Solar System Have An Odd Configuration - SciTechDaily,Astronomers reveal why so many pairs of planets outside our solar system have an odd configuration — the planets’ poles are majorly tilted.
Thespacereview.com,2019-03-05T01:22:43Z,Commercial crew's time approaches - The Space Review,
Space.com,2019-03-04T23:28:00Z,The Hubble Space Telescope Has a New Camera Glitch - Space.com,The glitchy camera is 17 years old.
Independent,2019-03-04T23:05:00Z,"Military sonar disturbs blue whales’ feeding, research reveals - The Independent",At greater depths giant creatures stop feeding and many flee area
Phys.org,2019-03-04T21:21:52Z,Ultracold atoms could provide 2-D window to exotic 1-D physics - Phys.org,Rice University physicists Matthew Foster and Seth Davis want to view a vexing quantum puzzle from an entirely new perspective. They just need the right vantage point and a place colder than deep space.
Phys.org,2019-03-04T21:19:07Z,"The force is with us, always? Tuning quantum vacuum forces from attractive to repulsive - Phys.org","The force is strong not only in Star Wars lore but also as a fundamental property in physics. For example, scientists can put two uncharged metal plates close together in a vacuum, and ""voila!"" —-they will attract each other like Luke Skywalker and his truste…"
Phys.org,2019-03-04T20:47:59Z,How to catch a magnetic monopole in the act - Phys.org,"A research team led by the Department of Energy's Lawrence Berkeley National Laboratory (Berkeley Lab) has created a nanoscale ""playground"" on a chip that simulates the formation of exotic magnetic particles called monopoles. The study—published recently in S…"
National Geographic,2019-03-04T20:32:59Z,"Ocean heat waves are killing underwater life, threatening biodiversity - National Geographic","The ocean feels heat waves just like the ones on land, and underwater life is struggling to survive them."
Phys.org,2019-03-04T20:00:14Z,"Scientists track deep history of planets' motions, and effects on Earth's climate - Phys.org","Scientists have long posited that periodic swings in Earth's climate are driven by cyclic changes in the distribution of sunlight reaching our surface. This is due to cyclic changes in how our planet spins on its axis, the ellipticity of its orbit, and its or…"
Sci-news.com,2019-03-04T19:51:50Z,"Injectable Nanoparticles Give Mice Infrared Vision | Biology, Nanotechnologies - Sci-News.com","A team of researchers from the University of Massachusetts Medical School, the University of Science and Technology of China and China’s Center for Excellence in Brain Science and Intelligence Technology has developed technology to give night vision to mammal…"
Vice News,2019-03-04T19:39:02Z,NASA Captures Stunning Images of ‘Nuclear Superbubbles’ in an Alien Galaxy - Motherboard,NGC 3079 is spitting out particles that balloon across thousands of light years in space.
Express.co.uk,2019-03-04T19:32:00Z,Yellowstone volcano SHOCK: Magma chamber scans REVEAL 'network’ of magma under Yellowstone - Express.co.uk,"A MAGMA chamber study has stunned Yellowstone scientists this week by dismantling previously accepted models of what hides beneath supervolcanoes like Yellowstone, the United States Geological Survey (USGS) has revealed."
Nature.com,2019-03-04T19:27:34Z,Peer-review experiments tracked in online repository - Nature.com,ReimagineReview records trials that are probing the pros and cons of different approaches to review.
Bgr.com,2019-03-04T19:23:00Z,China is going to Mars with a new rover next year - BGR,"China got a very, very late start in its efforts to explore space. The U.S., Russia, and other countries forged new paths to the Moon and beyond before China even got started, but it’s making…"
Howstuffworks.com,2019-03-04T19:00:04Z,Hunting for Martians in the Most Extreme Desert on Earth - HowStuffWorks,Rovers are getting some practice hunting for microbes here on Earth before they head to Mars in 2020.
Cnet.com,2019-03-04T18:41:35Z,Failed Soviet Venus lander to crash-land on Earth instead - CNET,It's been 45 years since the Soviet Union tried to send the probe to the surface of Venus. The spacecraft's return could be too close for comfort.
The New York Times,2019-03-04T17:44:22Z,Tyrannosaurus Rex: The Once and Future King - The New York Times,The dinosaur will always be the predator potentate. But let’s not forget all the other members of the royal family.
Phys.org,2019-03-04T17:34:14Z,Mystery of green icebergs may soon be solved - Phys.org,"Researchers have proposed a new idea that may explain why some Antarctic icebergs are tinged emerald green rather than the normal blue, potentially solving a decades-long scientific mystery."
Phys.org,2019-03-04T17:21:34Z,Researchers use machine learning to more quickly analyze key capacitor materials - Phys.org,"Capacitors, given their high energy output and recharging speed, could play a major role in powering the machines of the future, from electric cars to cell phones."
Phys.org,2019-03-04T17:19:21Z,Chirality yields colossal photocurrent - Phys.org,"A recently discovered Weyl semimetal delivers the largest intrinsic conversion of light to electricity of any material, an international team lead by a group of Boston College researchers reports today in the journal Nature Materials."
Wraltechwire.com,2019-03-04T16:34:57Z,NCSU researchers create 'biocement' that could cut risk of coal ash spills - WRAL Tech Wire,"Researchers from North Carolina State University have developed a technique that uses bacteria to produce ""biocement"" in coal ash ponds, making the coal ash easier to store and limiting the risk of coal ash spills into surface waters."
Daily Mail,2019-03-04T16:02:00Z,"Up to 1,700 bird and animal species face extinction over the next 50 years due to human activity - Daily Mail","A study by Yale University in Connecticut suggests that increased human land-use is expected to put 1,700 species of amphibians, birds, and mammals at greater extinction risk."
Phys.org,2019-03-04T16:00:48Z,Right electrolyte doubles novel two-dimensional material's ability to store energy - Phys.org,"Scientists at the Department of Energy's Oak Ridge National Laboratory, Drexel University and their partners have discovered a way to improve the energy density of promising energy-storage materials, conductive two-dimensional ceramics called MXenes. The find…"
Phys.org,2019-03-04T16:00:25Z,Quasiparticles experimentally shown to interfere for first time - Phys.org,"Qubits, the units used to encode information in quantum computing, are not all created equal. Some researchers believe that topological qubits, which are tougher and less susceptible to environmental noise than other kinds, may be the best medium for pushing …"
Sciencemag.org,2019-03-04T15:51:20Z,Corn and other important crops can now be gene edited by pollen carrying CRISPR - Science Magazine,Syngenta’s new method could transform difficult-to-edit plants
Phys.org,2019-03-04T14:38:59Z,Researchers find potential new source of rare earth elements - Phys.org,"Researchers have found a possible new source of rare earth elements—phosphate rock waste—and an environmentally friendly way to get them out, according to a study published in the Journal of Chemical Thermodynamics."
Phys.org,2019-03-04T14:37:04Z,Engineers develop fast method to convert algae to biocrude - Phys.org,"Biofuel experts have long sought a more economically-viable way to turn algae into biocrude oil to power vehicles, ships and even jets. University of Utah researchers believe they have found an answer. They have developed an unusually rapid method to deliver …"
Phys.org,2019-03-04T14:36:27Z,Swimming microbes steer themselves into mathematical order - Phys.org,"Freeing thousands of microorganisms to swim in random directions in an infinite pool of liquid may not sound like a recipe for order, but eventually the swarm will go with its own flow."
Eurekalert.org,2019-03-04T13:02:14Z,The speedy secrets of mako sharks -- 'cheetahs of the ocean' - EurekAlert,"To investigate how shortfin mako sharks achieve their impressive speeds, researchers tested real sharkskin samples, using digital particle image velocimetry. They discovered that a 'passive bristling' capability of the microscopic surface geometry of the shar…"
Livescience.com,2019-03-04T12:08:00Z,Neutrinos Entangled in the Cosmic Web May Change the Structure of the Universe - Live Science,The neutrinos enmeshed in the vast cosmic web could provide a glimpse of the earliest observable moment after the Big Bang.
Livescience.com,2019-03-04T12:02:00Z,500 Million-Year-Old Worm Superhighway Revealed in Ancient Seafloor - Live Science,Cambrian worms burrowed through an environment thought to be devoid of life.
Fastcompany.com,2019-03-04T11:34:00Z,China's solar power plant could beat US's Green New Deal - Fast Company,"While lawmakers quibble over climate change, China has already made big renewable energy strides."
Industryweek.com,2019-03-04T11:22:20Z,SpaceX Notches Next Step in Race With Boeing to Crewed Flights - IndustryWeek,"“This mission puts us a step closer toward re-establishing American access of American astronauts, on American rockets, from American soil to the ISS for the first time since the Space Shuttle retired in 2011.”"
Earthsky.org,2019-03-04T11:15:00Z,Planet 9 hypothesis gets a boost | Space - EarthSky,"A large, unknown Planet 9 in our solar system continues to elude astronomers. But a new review article in Physics Reports explains why some scientists still think they'll find it."
Theconversation.com,2019-03-04T09:53:00Z,How did reading and writing evolve? Neuroscience gives a clue - The Conversation - UK,Reading and writing may have evolved thanks to a natural ability of the brain's visual cortex to process geometrical shapes.
Investors.com,2019-03-04T06:33:05Z,"SpaceX Launch Succesful, Crew Dragon Capsule Docks With Space Station - Investor's Business Daily","After a successful SpaceX launch Saturday, the unmanned Crew Dragon capsule docked with the International Space Station early Sunday."
Sciencealert.com,2019-03-04T06:28:53Z,This Breathtaking Close-Up of Jupiter's Swirling Skies Looks Like a Painting - ScienceAlert,"Since its arrival at Jupiter in 2016, NASA's little space explorer Juno has been steadfastly circling the enigmatic gas giant, over and over again. Each close flyby (or perijove) from its highly elliptical orbit brings us new views of Jupiter's swirl"
Sputniknews.com,2019-03-04T03:07:00Z,"ISS Astronauts Meet SpaceX Ship Crew After Historic Docking (PHOTO, VIDEO) - Sputnik International",The ship successfully docked in autonomous mode and the astronauts tweeted pictures with the ship’s inhabitants.
Nydailynews.com,2019-03-04T01:50:00Z,'Grandfather' of climate science Wallace Smith Broecker gave one last warning before death - New York Daily News,"Days before his death, Wallace Smith Broecker, the “grandfather” of climate science, urged his colleagues to deploy a solar shield in a last-ditch effort to combat global warming."
Independent,2019-03-04T00:31:00Z,"Endangered fruit bats ‘being driven to extinction’ in Mauritius after mass culls kill 50,000 - The Independent","'The fewer animals remain, the more vulnerable they will be to natural disasters, disease and habitat loss'"
Sputniknews.com,2019-03-04T00:09:00Z,Russian Military Mulls Angara-A5 Heavy Rocket for Satellite Launches - Source - Sputnik International,"MOSCOW (Sputnik) - The Russian Defense Ministry is planning to use the Angara-A5 heavy-class carrier rockets to launch satellites from the Vostochny space center in Russia's Far East, a Russian space industry source told Sputnik."
