source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Wkyt.com,Winner claims $1.5 billion Mega Millions jackpot in South Carolina - WKYT,0,0,0,0,0,0,0
Stereogum.com,Young Dolph Has $500K Of Jewelry & Cash Stolen While Eating At Cracker Barrel - Stereogum,0,0,0,0,0,0,0
Business Insider,Stocks sink after economic data disappoints - Business Insider,0,0,0,0.67524,0,0,0
USA Today,Volkswagen debuts electric Buggy concept ATV at Geneva auto show - USA TODAY,0,0,0,0,0,0,0
Thestreet.com,Sizing Up a Salesforce Earnings Reaction Trade - TheStreet.com,0,0,0,0,0,0,0
Kitco.com,Barrick's Bristow Rejects Newmont's Joint-Venture Proposal - Kitco News,0,0,0,0.595401,0.920855,0,0
Youtube.com,Tesla will unveil the Model Y crossover on March 14th - Engadget,0,0,0,0,0,0,0
Komonews.com,'Historic moment for Snohomish County': Everett's Paine Field opens for commercial flights - KOMO News,0,0,0,0,0,0,0
Marketrealist.com,Kraft Heinz: Rare Upgrade from Morgan Stanley - Market Realist,0,0,0,0,0.724236,0,0
Newsweek,George Conway Says Donald Trump Faces 'Grounds for Impeachment' If He Ordered Block on AT&T-Time Warner Deal - Newsweek,0,0,0,0,0.705784,0,0
Barrons.com,Nightstar Stock Is Latest Winner From Gene-Therapy Gold Rush - Barron's,0,0,0,0,0,0,0
Thedrive.com,All New Volvo Cars Will be Limited to Just 112 MPH by Next Year - The Drive,0,0,0.503118,0,0,0,0
Triblive.com,Peduto issues executive order on testing self-driving cars in Pittsburgh - Tarentum Valley News Dispatch,0,0,0,0,0,0,0
TechCrunch,Office Depot partners with Alibaba to focus on small to medium-sized businessesâ€™ needs - TechCrunch,0,0,0.552668,0,0.560098,0,0
Autonews.com,Fiat Chrysler finance chief Palmer to join board with executive role - Automotive News Europe,0,0,0,0,0.560098,0,0
Wkrn.com,"Autoworker upheaval: Families split, children left behind - WKRN News 2",0,0,0,0.507318,0,0,0
CNBC,Amazon's joint health-care venture finally has a name: Haven - CNBC,0,0,0.63146,0,0,0,0
CNBC,Amazon to close all of its 87 pop-up stores in the US beginning in April - CNBC,0,0,0,0,0,0.704642,0
Npr.org,"Bay Area's High Cost Of Living Squeezes Restaurant Workers, Chefs And Owners - NPR",0,0,0,0,0,0,0
CNN,This $3 million car could go 300 miles an hour - CNN,0,0,0,0.627024,0,0,0.786991
Wraltechwire.com,Remember Blockbuster? There's only one store left - WRAL Tech Wire,0,0,0,0,0.98445,0,0
Recode,Why companies like Lyft and Uber are going public without having profits - Recode,0,0,0,0,0,0,0
Yahoo.com,Amazon's withdrawal from New York 'had little effect' on housing market: Beige Book - Yahoo Finance,0,0,0,0,0.781949,0,0
Marketwatch.com,Amazon and the Trump Organization are at opposite ends of this reputation poll - MarketWatch,0,0,0,0,0.61476,0,0
France24.com,US growth to slow 'considerably' in 2019: NY Fed - FRANCE 24,0,0,0,0.654922,0,0,0
CNBC,General Electric shares plummetâ€”Jim Cramer and other experts react to the drop - CNBC,0,0,0,0,0,0,0
Goerie.com,Erie's Hagen moves up list of Forbes billionaires - GoErie.com,0,0,0,0,0,0,0
Business Insider,Chinese Tesla rival Nio is crashing after slashing its delivery outlook and calling off plans for a Shang.. - Markets Insider,0,0,0,0,0,0,0
CNBC,Buybacks are under attack again as a senator pushes to restrict insider sales after announcements - CNBC,0,0,0,0,0,0,0
CNN,"A baby chihuahua, a set of gold teeth & 48 other things people left in their Uber - CNN",0,0,0,0,0,0,0
TechCrunch,Zuckerberg wants messages to auto-expire to make Facebook a â€œliving roomâ€ù - TechCrunch,0,0,0,0,0,0,0
Thetruthaboutcars.com,"Ghosn Leaves Japanese Jail in Disguise, Out on $8.9 Million Bail - The Truth About Cars",0,0,0,0,0,0,0
Bmwblog.com,Geneva 2019: Bugatti La Voiture Noire is the most expensive new car ever - BMWBLOG,0,0,0,0,0,0,0
Koat.com,"Family Dollar to close nearly 400 stores, rebrand 200 other locations - KOAT Albuquerque",0,0,0,0,0,0,0.716301
Ars Technica,Las Vegas convention authority wants The Boring Company to build 2-mile loop - Ars Technica,0,0,0,0.600907,0,0,0
Npr.org,"Crypto Mystery: Quadriga's Wallets Are Empty, Putting Fate Of $137 Million In Doubt - NPR",0,0,0,0.704471,0,0,0.845297
Seekingalpha.com,What's Up With Micron? - Seeking Alpha,0,0,0,0,0,0,0
Ars Technica,Democrats' net neutrality bill would fully restore Obama-era FCC rules - Ars Technica,0,0,0,0,0,0,0
Newser.com,"Jerry Merryman, Co-Inventor of Hand-Held Electronic Calculator for Texas Instruments, Has Died - Newser",0,0,0,0.689654,0,0,0
Thestreet.com,"Dow Falls as Investors Eye Details From Trade Talks, Oil Prices Tumble - TheStreet",0,0,0,0,0,0,0
USA Today,The wallet as you know it may be dying - USA TODAY,0,0,0,0.681814,0.653099,0,0.786991
Fox News,Taco Bell employees seen beating up customers after allegedly complaining about long wait for tacos - Fox News,0,0,0,0,0,0,0.58393
Fiercepharma.com,Activist Starboard steps up revolt on Bristol-Celgene mergerâ€”and BMS strikes back - FiercePharma,0,0,0,0,0,0,0
Investing.com,"Wall Street slips, investors await fresh cues on trade - Investing.com",0,0,0.519135,0,0,0,0
Foxbusiness.com,"Amazon, Google face digital taxes from growing list of countries - Fox Business",0,0,0,0,0,0,0
Thedrive.com,5 Cars You've Never Heard Of at the Geneva Motor Show - The Drive,0,0,0,0,0,0.509368,0
Abc7.com,Chick-fil-A offering fish sandwich for Lent - KABC-TV,0,0,0,0,0,0,0
Oilprice.com,Oil Falls After EIA Reports Large Crude Build | OilPrice.com - OilPrice.com,0,0,0,0,0,0,0
The New York Times,Carlos Ghosn Is Out of Jail. What Happens Next? - The New York Times,0,0,0,0,0,0,0
CBS News,"Georgia woman reads fine print on travel insurance policy from Florida-based company, Squaremouth, wins $10,000 in hidden contest - CBS News",0,0,0.645894,0,0,0,0
Associated Press,"iPhone sales are falling, and Apple's app fees might be next - The Associated Press",0,0,0,0,0,0,0.681699
Npr.org,Oregon Wineries Make Wine Out Of Grapes Rejected For Smoke Taint : The Salt - NPR,0,0,0,0,0,0,0
Investors.com,Stocks Fade; This Dow Jones Stock Gets FDA Lift - Investor's Business Daily,0,0,0,0,0,0,0
Businesswire.com,MoviePassâ„¢ and MoviePass Films Announce New Strategic Direction - Business Wire,0,0,0.753389,0,0,0,0
Marketwatch.com,"Micron's stock sinks again to pace chip losers as DRAM, NAND pricing concerns continue - MarketWatch",0,0,0,0.636519,0,0,0
