source,date,title,description
Gizmodo.com,2019-03-06T19:30:00Z,Scientists Might Finally Know Why Some Icebergs Are Bright Green - Gizmodo,"In the 18th-century English ballad The Rime of the Ancient Mariner, a storm drives a sailor’s ship toward the South Pole, where he encounters all manner of fantastical sights, including floating icebergs “as green as emerald.” It may sound like author Samuel …"
Sciencenews.org,2019-03-06T19:00:04Z,Hominids may have hunted rabbits as far back as 400000 years ago - Science News,Stone Age groups in Europe put small game on the menu surprisingly early.
Nypost.com,2019-03-06T18:32:00Z,"Colossal asteroid set to travel by Earth on Friday, NASA says we will be fine - New York Post ","A giant space rock, which measures between 298 and 656 feet wide, is set to travel by Earth this Friday, March 8 — but don't worry, humanity has nothing to fear."
CNBC,2019-03-06T18:31:59Z,Elon Musk on SpaceX: 'I always thought we would fail' - CNBC,"Elon Musk thought he would lose millions of dollars he made from selling PayPal by starting SpaceX, but it was ""worth trying anyway."""
Engadget,2019-03-06T18:29:46Z,The first all-female spacewalk takes place March 29th - Engadget,"After several decades of human spaceflight, you're finally going to see the first all-female spacewalk.  NASA has confirmed that astronauts Anne McClain and Chr..."
Bbc.com,2019-03-06T18:04:49Z,Wetland mud is 'secret weapon' against climate change - BBC News,"Muddy, coastal marshes could store more carbon as sea levels rise, scientists reveal."
Nature.com,2019-03-06T18:01:04Z,Autophagy induction via STING trafficking is a primordial function of the cGAS pathway - Nature.com,The authors report that the cGAS–STING pathway drives a form of autophagy that is independent of interferon induction and distinct from the conventional autophagy.
Hackaday.com,2019-03-06T18:01:00Z,"Ask Hackaday: Earth's Magnetic Field Shifting Rapidly, But Who Will Notice? - Hackaday","Just when you though it was safe to venture out, the National Oceanic and Atmospheric Administration released an unexpected update. Magnetic North is on the move — faster than expected. That&…"
Sciencealert.com,2019-03-06T18:00:45Z,Physicists Want to Use Quantum Particles to Find Out What Happens Inside a Black Hole - ScienceAlert,"A new method for analysing the entanglement of scrambled particles could tell us how the Universe still keeps track of information contained by particles that disappear into black holes. It won't get our quantum information back, but it might at leas"
The Verge,2019-03-06T17:53:47Z,"Even in a warmer Europe, wind and solar could still keep the lights on - The Verge","A new study published today in the journal Joule investigates how the effects of climate change on wind, sunlight, and temperature might change electricity supply and demand in Europe. The study reports that a grid powered by wind and solar should be pretty r…"
Express.co.uk,2019-03-06T17:02:00Z,Solar storm WARNING: Experts urge for more protection or prepare for TECH BLACKOUT - Express.co.uk,SCIENTISTS have warned that humans need to prepare for a huge solar storm which could DEVASTATE technology on Earth.
