source,date,title,description
Formula1.com,2019-02-28T17:32:40Z,First footage of Sebastian Vettel's big crash on Day 2 of the second pre-season test in Barcelona | Formula 1Â® - Formula 1,Watch as Sebastian Vettel crashes his Ferrari as a result of a wheel rim issue on Day 2 of the second pre-season test in Barcelona.
Awfulannouncing.com,2019-02-28T17:30:09Z,Week 1's Florida-Miami matchup could be moved to Week 0 - Awful Announcing,"Florida and Miami are set to collide in football for the first time since 2013 this fall. But the game could get top billing in August instead of falling in with the rest of the crowded pack of Week 1 games, and that is because the game could be shifted up a â€_"
Mlb.com,2019-02-28T16:58:35Z,Brandon Nimmo recovering after eating chicken - MLB.com,"PORT ST. LUCIE, Fla. -- Brandon Nimmo swears he cooked the chicken just fine.    A day after the Mets sent him home early due to a stomach ailment, and two days after Nimmo sat down to enjoy a home-cooked dinner of chicken and sweet potatoes with a garlic-hâ€_"
Thisisinsider.com,2019-02-28T16:51:26Z,"Nick Kyrgios nearly quit a match, grew scared of the crowd reaction, and traded barbs with Rafa Nadal in a wild scene - INSIDER","Nick Kyrgios and Rafael Nadal played a thrilling match on Wednesday, that included multiple match-point saves and a healthy dose of trash talk."
Bleacher Report,2019-02-28T16:46:09Z,"Jon Gruden 'Still Sensitive' About Khalil Mack Trade, Says He's Hard to Replace - Bleacher Report NFL","Oakland Raiders  head coach  Jon Gruden  said Thursday that he is ""still sensitive"" about the trade that sent superstar pass-rusher Khalil Mack to the  Chicago Bears  prior to last season..."
Cbssports.com,2019-02-28T16:29:00Z,"College basketball rankings: Marquette, No. 10 in Top 25 And 1, still projected to win Big East even after loss at Villanova - CBS Sports",Marquette is one game ahead of the reigning national champs in the loss column of the league standings
Barcablaugranes.com,2019-02-28T16:24:54Z,Barcelona 3-0 Real Madrid: Tactical Analysis (Copa del Rey 2019 second leg) - Barca Blaugranes,Barcelona won taking very few shots in a very odd match
Radio.com,2019-02-28T16:19:13Z,"Sean McVay praises Patriots for Super Bowl LIII performance, notes he can learn from experience - WEEI",INDIANAPOLIS -- Super Bowl LIII is probably a night Sean McVay would like to forget.
Deadspin.com,2019-02-28T16:17:00Z,Anthony Davis Tried Hard Not To Smile At LeBron James's Dagger - Deadspin,"On Wednesday night, Anthony Davis showed the Lakers what they missed out on by, uh, offering their entire team to a chaotic New Orleans front office that had no desire to let its superstar move to California: in just 21 minutes of *cough* injury-mandated *couâ€_"
Cbssports.com,2019-02-28T16:01:00Z,"Heat's Dwyane Wade sinks Warriors with miraculous buzzer-beating 3-pointer, credits Kobe Bryant after game - CBS Sports","Wade hits an improbable game-winning 3 against the Warriors, then thanks Kobe afterward for the 'Mamba Mentality'"
