source,text,time,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative,username
,Mystery of green icebergs may soon be solved - Phys.org,2019-03-04T17:34:14Z,0.0,0.0,0.0,0.0,0.687768,0.0,0.9289360000000001,Phys.org
,Researchers use machine learning to more quickly analyze key capacitor materials - Phys.org,2019-03-04T17:21:34Z,0.0,0.0,0.0,0.0,0.916118,0.0,0.0,Phys.org
,Chirality yields colossal photocurrent - Phys.org,2019-03-04T17:19:21Z,0.0,0.0,0.0,0.0,0.842108,0.0,0.0,Phys.org
,NCSU researchers create 'biocement' that could cut risk of coal ash spills - WRAL Tech Wire,2019-03-04T16:34:57Z,0.0,0.0,0.0,0.665068,0.0,0.0,0.647986,Wraltechwire.com
,"Up to 1,700 bird and animal species face extinction over the next 50 years due to human activity - Daily Mail",2019-03-04T16:02:00Z,0.0,0.0,0.0,0.0,0.713028,0.0,0.0,Daily Mail
,Right electrolyte doubles novel two-dimensional material's ability to store energy - Phys.org,2019-03-04T16:00:48Z,0.0,0.0,0.679971,0.0,0.0,0.0,0.0,Phys.org
,Quasiparticles experimentally shown to interfere for first time - Phys.org,2019-03-04T16:00:25Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phys.org
,Corn and other important crops can now be gene edited by pollen carrying CRISPR - Science Magazine,2019-03-04T15:51:20Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sciencemag.org
,Researchers find potential new source of rare earth elements - Phys.org,2019-03-04T14:38:59Z,0.0,0.0,0.623429,0.0,0.653099,0.0,0.0,Phys.org
,Engineers develop fast method to convert algae to biocrude - Phys.org,2019-03-04T14:37:04Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phys.org
,Swimming microbes steer themselves into mathematical order - Phys.org,2019-03-04T14:36:27Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phys.org
,The speedy secrets of mako sharks -- 'cheetahs of the ocean' - EurekAlert,2019-03-04T13:02:14Z,0.0,0.0,0.675779,0.0,0.0,0.0,0.0,Eurekalert.org
,Neutrinos Entangled in the Cosmic Web May Change the Structure of the Universe - Live Science,2019-03-04T12:08:00Z,0.0,0.0,0.674525,0.0,0.0,0.0,0.647986,Livescience.com
,500 Million-Year-Old Worm Superhighway Revealed in Ancient Seafloor - Live Science,2019-03-04T12:02:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Livescience.com
,China's solar power plant could beat US's Green New Deal - Fast Company,2019-03-04T11:34:00Z,0.0,0.0,0.704327,0.0,0.0,0.0,0.75152,Fastcompany.com
,SpaceX Notches Next Step in Race With Boeing to Crewed Flights - IndustryWeek,2019-03-04T11:22:20Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industryweek.com
,Planet 9 hypothesis gets a boost | Space - EarthSky,2019-03-04T11:15:00Z,0.0,0.0,0.607574,0.0,0.0,0.0,0.615352,Earthsky.org
,How did reading and writing evolve? Neuroscience gives a clue - The Conversation - UK,2019-03-04T09:53:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Theconversation.com
,"SpaceX Launch Succesful, Crew Dragon Capsule Docks With Space Station - Investor's Business Daily",2019-03-04T06:33:05Z,0.0,0.0,0.0,0.0,0.589295,0.0,0.0,Investors.com
,This Breathtaking Close-Up of Jupiter's Swirling Skies Looks Like a Painting - ScienceAlert,2019-03-04T06:28:53Z,0.0,0.0,0.604799,0.0,0.0,0.0,0.0,Sciencealert.com
,"ISS Astronauts Meet SpaceX Ship Crew After Historic Docking (PHOTO, VIDEO) - Sputnik International",2019-03-04T03:07:00Z,0.0,0.0,0.5904010000000001,0.0,0.0,0.0,0.0,Sputniknews.com
,'Grandfather' of climate science Wallace Smith Broecker gave one last warning before death - New York Daily News,2019-03-04T01:50:00Z,0.0,0.0,0.0,0.539235,0.0,0.0,0.0,Nydailynews.com
,"Endangered fruit bats âbeing driven to extinctionâ in Mauritius after mass culls kill 50,000 - The Independent",2019-03-04T00:31:00Z,0.0,0.0,0.0,0.0,0.586987,0.0,0.0,Independent
,Russian Military Mulls Angara-A5 Heavy Rocket for Satellite Launches - Source - Sputnik International,2019-03-04T00:09:00Z,0.0,0.0,0.0,0.0,0.620279,0.0,0.0,Sputniknews.com
,"Ninja-like black hole discovered gobbling up a gas cloud 25,000 light-years away - Digital Trends",2019-03-03T20:57:19Z,0.0,0.0,0.0,0.0,0.8152,0.0,0.0,Digitaltrends.com
,Ability to twist like magic may make spider silk the robotic muscle of the future - Digital Trends,2019-03-03T19:25:49Z,0.0,0.0,0.63349,0.0,0.0,0.0,0.775166,Digitaltrends.com
,Apollo 9: 'A Hell of a Ride' - NASA,2019-03-03T19:23:36Z,0.6633180000000001,0.0,0.0,0.0,0.0,0.0,0.0,Youtube.com
,A Swimmer Saved by What She Lost - The New York Times,2019-03-03T18:33:45Z,0.0,0.0,0.0,0.739367,0.0,0.0,0.0,The New York Times
,Did there used to be liquid water on Mars? New images give clues - Digital Trends,2019-03-03T18:26:21Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Digitaltrends.com
,Beresheet shuttle completes another maneuver on way to moon - The Jerusalem Post,2019-03-03T03:07:45Z,0.0,0.0,0.522856,0.0,0.0,0.543112,0.0,The Jerusalem Post
,Can the Falcons afford Justin Houston? - The Falcoholic,2019-03-05T17:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thefalcoholic.com
,"LeBron and the Lakers are officially done, front office changes to come - Stephen A. | First Take - ESPN",2019-03-05T16:45:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Youtube.com
,"Kellen Winslow in jail again, for lewd conduct - Yahoo Sports",2019-03-05T16:41:00Z,0.0,0.0,0.0,0.0,0.687768,0.0,0.0,Yahoo.com
,Trestman hired as coach of Tampa Bay XFL team - ESPN,2019-03-05T16:30:07Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Espn.com
,4-round mock draft simulation: New York Giants select Montez Sweat No. 6 - Big Blue View,2019-03-05T16:10:18Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bigblueview.com
,The Unstoppable Bucks Lost Again To The Extremely Stoppable Suns - Deadspin,2019-03-05T16:03:00Z,0.0,0.0,0.0,0.5941350000000001,0.0,0.579436,0.0,Deadspin.com
,Jon Jones thankful 'real warrior' Anthony Smith didn't take easy way out with DQ at UFC 235 - MMAjunkie,2019-03-05T16:00:00Z,0.0,0.0,0.777357,0.0,0.0,0.0,0.0,Mmajunkie.com
,"Former Minneapolis North star Khalid El-Amin detained, released for delinquent child support - KSTP",2019-03-05T15:52:12Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kstp.com
,Mets hire Jessica Mendoza in front office role - Yardbarker,2019-03-05T15:46:19Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yardbarker.com
,NFL free agency 2019: Where will Golden Tate play next season? Six potential landing spots - CBS Sports,2019-03-05T15:27:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cbssports.com
,Yankees' Sabathia to serve as ESPN analyst - ESPN,2019-03-05T15:24:37Z,0.0,0.0,0.0,0.0,0.9310379999999999,0.0,0.0,Espn.com
,"Patrick Beverley is over LeBron James and the Lakers, says Clippers are - Yahoo Sports",2019-03-05T15:05:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yahoo.com
,Will Smithâs Casting as Venus and Serena Williamsâ Father Sparks Colorism Backlash - IndieWire,2019-03-05T15:04:04Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indiewire.com
,2019 Arnold Palmer Invitational odds: Surprising picks from proven model that nailed four golf majors - CBS Sports,2019-03-05T14:58:00Z,0.0,0.0,0.0,0.0,0.5384479999999999,0.0,0.0,Cbssports.com
,Report: Bears To Release OLB Sam Acho - 670 The Score,2019-03-05T14:53:28Z,0.0,0.0,0.0,0.0,0.0,0.704642,0.0,Radio.com
,"Being an NBA star isn't difficult, it's fantastic! - Jalen Rose to Kyrie Irving | Get Up! - ESPN",2019-03-05T14:36:14Z,0.0,0.0,0.802424,0.0,0.0,0.0,0.0,Youtube.com
,2019 NFL Mock Draft: Matt Miller's Post-Combine Predictions - Bleacher Report,2019-03-05T14:06:15Z,0.0,0.0,0.0,0.0,0.0,0.618451,0.0,Bleacher Report
,Joe Rogan: Roadblock to Conor McGregor vs Donald Cerrone is UFC wanting it to be co-main event - Bloody Elbow,2019-03-05T14:05:00Z,0.0,0.0,0.0,0.501722,0.0,0.0,0.0,Bloodyelbow.com
,Mardi Gras: The most fun you'll have with a history lesson - CNN,2019-03-05T13:42:10Z,0.0,0.0,0.806481,0.0,0.620279,0.0,0.0,CNN
,"2019 NFL Mock Draft: Cardinals trade Josh Rosen to Redskins and take Kyler Murray, Giants grab falling QB - CBS Sports",2019-03-05T13:34:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cbssports.com
