source,date,title,description
Geektyrant.com,2019-03-02T22:15:00Z,GRETA Is A Thriller Full Of Missed Opportunities And Really Bad Decisions - One Minute Movie Review - GeekTyrant,"Greta   is a drama thriller from Oscar-winning director  Neil Jordan  ( The Crying Game, Interview With The Vampire)   .   &nbsp; Chloe Grace Moretz  stars and is joined by  Isabelle Huppert .   Watch the 60-second review from&nbsp; One Minute Critic :  You câ€_"
Newser.com,2019-03-02T21:45:00Z,Man Returns 'Life' Magazine Featuring the Beatles After Stealing It 50 Years Ago - Newser,The Ohio public library gets a nice surprise
Cheatsheet.com,2019-03-02T21:33:21Z,Kensington Palace Shuts Down The Meghan Markle and Prince Harry 'Gender Fluid' Baby Rumors - The Cheat Sheet,Kensington Palace released a statement regarding Meghan Markle and Prince Harry raising their child as gender fluid.
Bleedingcool.com,2019-03-02T20:56:49Z,Brie Larson Is... Captain America? - Bleeding Cool News,"In less than an hourâ€™s time, itâ€™s The Jonathan Ross Show on ITV, with guests Samuel L Jackson and Brie ... Read More"
Popsugar.com,2019-03-02T19:56:03Z,This Video of Rami Malek Listing His Favorite Things Is Inadvertently Creeping People Out - POPSUGAR,Rami Malek is the king of long pauses and blank stares.
CNBC,2019-03-02T19:00:36Z,"'Guardians of the Galaxy: Volume 3': James Gunn is back in, but Marvel may have lost his most important power - CNBC",Marvel Studios parent company Disney fired 'Guardians of the Galaxy' director James Gunn last summer for comments he made on Twitter years prior to becoming the face of the cult-space franchise. Marvel recently confirmed that Gunn's script will be used for thâ€_
Etonline.com,2019-03-02T18:21:24Z,'Bachelor' Colton Hangs Out With This Celeb: Why Fans are Freaking Out - Entertainment Tonight,The 27-year-old former football player still has a week and a half until fans find out who wins his final rose.
Essence.com,2019-03-02T18:14:36Z,Showrunner Of Gabrielle Union's New Show Has To Have Leg Removed After Tragic Set Accident - Essence,Brandon Sonnier was injured afterÂ aÂ stunt car crashed into the video village where producers were watching the show.
Wthr.com,2019-03-02T17:41:00Z,"50 years after it opened, Alabama music studio plans a party - WTHR",
Cosmopolitan.com,2019-03-02T15:53:00Z,"Hailey Baldwin Jokes That She Calls Husband Justin Bieber ""Daddy"" - Cosmopolitan.com",Unless that wasn't a joke?!
Npr.org,2019-03-02T15:40:00Z,Not My Job: We Quiz 'West Wing' Creator Aaron Sorkin On Hot Wings - NPR,"Sorkin â€” creator of The West Wing, Sports Night and The Newsroom -- will field three questions about the deep-fried, sauce-coated, chicken delicacy."
Newnownext.com,2019-03-02T15:20:40Z,Brothers Involved in Jussie Smollett Case Have â€œTremendous Regretâ€ù - NewNowNext,"The men allege that the ""Empire"" star paid them prior to the assault."
Cheatsheet.com,2019-03-02T14:55:00Z,"Will Demi Lovato Join the Jonas Brothers on Tour, and Will 'Camp Rock 3' Ever Happen? - The Cheat Sheet",The Jonas Brothers hint that Demi Lovato could join them on tour and discuss whether Camp Rock 3 will happen.
Wdef.com,2019-03-02T14:27:40Z,Jerry Lee Lewis expected to recover after suffering stroke - WDEF News 12,Rock â€˜nâ€™ roll pioneer Jerry Lee Lewis â€” known for his outrageous energy and piano skills on songs like â€œGreat Balls of Fireâ€ù â€” suffered a minor stroke on Thursday. Heâ€™s expected to make a full recovery. A statement from his publicist said the 83-year-old Rockâ€_
Abc13.com,2019-03-02T11:57:38Z,Cardi B sets all-time RodeoHouston attendance record - KTRK-TV,"In one of this year's most anticipated concerts, Cardi B will take the star-shaped stage at RodeoHouston Friday night."
Wcvb.com,2019-03-02T11:50:00Z,A never-before released Dr. Seuss book is coming out this fall - WCVB Boston,Children will soon be cheering yay; a new Dr. Seuss book is on its way.
Digitalspy.com,2019-03-02T11:24:00Z,Michael J Fox opens up about his recent health problems - DigitalSpy.com,"""I was trying to parse what was Parkinson's and what was spinal."""
Thesun.co.uk,2019-03-02T09:26:55Z,What is the Momo challenge and is the â€˜suicide gameâ€™ real or an evil hoax? - The Sun,The Momo picture has been terrifying adults and children with schools issuing warnings to parents
Malaymail.com,2019-03-02T07:22:25Z,"Actress Katherine Helmond of TVâ€™s â€˜Soap,â€™ â€˜Whoâ€™s the Boss?â€™ dies at 89 - Malay Mail","LOS ANGELES, March 2 â€” Actress Katherine Helmond, a seven-time Emmy Award nominee who played lusty matriarchs on the hit television sitcoms Soap and Whoâ€™s the Boss from the 1970s into the 1990s, died last month at the age of 89, her talent agency said yesterdâ€_"
Cosmicbook.news,2019-03-02T05:07:48Z,No Captain Marvel Fandango Ticket Sales Conspiracy - Cosmic Book News,Disney and Fandango in cahoots? Nope.
Youtube.com,2019-03-02T00:35:29Z,Oprah Winfrey Hosting Michael Jackson Documentary Aftershow | E! News - E! News,"""Leaving Neverland"" will be joined by ""After Neverland,"" where Oprah will interview MJ's accusers & the director. ""Live From E!"" has a sneak peek! #OprahWinf..."
Polygon,2019-03-01T23:43:48Z,"Disneyâ€™s Star Wars: Galaxyâ€™s Edge theme parks, explained - Polygon","Hereâ€™s what youâ€™ll find if you plan to visit a galaxy far, far away at Disneyland Park in Anaheim, California, and Walt Disney World in Orlando, Florida. Find opening dates, attractions, dining options, travel tips, and more in our explainer."
Hollywoodreporter.com,2019-03-01T21:55:57Z,'Greta' and 'Madea's Family Funeral' in Theaters Friday: Movie Reviews - Hollywood Reporter,See what The Hollywood Reporter's critics have to say about this weekend's new releases.
Tmz.com,2019-03-01T21:00:00Z,Jussie Smollett Goes Incognito for Family Dinner in Chicago - TMZ,"Jussie Smollett's taking extreme measures to avoid being seen, but everybody's gotta eat."
Youtube.com,2019-03-05T05:14:18Z,Brie Larson on Becoming Captain Marvel - Jimmy Kimmel Live,

USA Today,2019-03-05T03:40:00Z,"After mourning the death of Luke Perry, how will 'Riverdale' move on? - USA TODAY","Luke Perry, who died Monday, played a supporting role but a significant character, Archie Andrews' father, Fred, in the CW drama 'Riverdale.'"

Theringer.com,2019-03-05T03:02:00Z,‚ÄòThe Bachelor‚Äô Recap: Colton Jumps a Fence - The Ringer,It happened after Cassie turned him down. And everything about it was much wilder than could have possibly been expected.

Youtube.com,2019-03-05T02:19:47Z,Necessary Realness: Jordyn Woods Spills the Tea - E! News,

Heroichollywood.com,2019-03-05T02:06:46Z,Ray Fisher's Cyborg Easter Egg Spotted in Latest 'Shazam!' Trailer - Heroic Hollywood,A Justice League action figure of Ray Fisher's Cyborg was spotted briefly in the latest Shazam! trailer released on Monday.

Tmz.com,2019-03-05T02:06:00Z,Cardi B and Offset Together on a Yacht in Mexico - TMZ,Cardi B and Offset relax together on a yacht in Mexico.

Goldderby.com,2019-03-04T23:15:00Z,Kelly Clarkson is trying to do something on ‚ÄòThe Voice‚Äô that hasn‚Äôt been done in 12 seasons - Gold Derby,"Blake Shelton is in ‚ÄúThe Voice‚Äù record books for winning three championships in a row from Season 2 to Season 4 (Jermaine Paul, Cassadee Pope, Danielle Bradbery). Over the past dozen cy‚Ä¶"

Rollingstone.com,2019-03-04T23:08:00Z,How Luke Perry's Rodeo Movie '8 Seconds' Depicted Real Cowboy Life - Rolling Stone,"The actor, who died Monday at 52, may be synonymous with ‚ÄòBeverly Hills 90210,‚Äô but his role as bullrider Lane Frost validated daily life in dustier zip codes"

Xxlmag.com,2019-03-04T22:49:00Z,"Kodak Black to Lil Wayne: ""You Should've Died as a Baby"" - XXLMAG.COM","During a performance at Miami's Live Nightclub, Kodak Black told Lil Wayne, ''You should've died when you was a baby.''"

Youtube.com,2019-03-04T22:44:45Z,"The Prodigy's Keith Flint Dead at 49, Morrissey Broadway Residency | RS News 3/4/19 - Rolling Stone",Host Brittany Spanos on the following stories: The Prodigy‚Äôs Keith Flint Dead at 49: https://bit.ly/2SIFweC Aretha Franklin Suspected Theft Prior to Death: h...

Youtube.com,2019-03-04T22:15:00Z,QUEER EYE Season 3 Official Trailer (HD) Netflix Reality Series - JoBlo TV Show Trailers,"YOU. ARE. NOT. READY. Lots of firsts and lots of love are coming your way! Grab your tissues, new episodes of Queer Eye arrive March 15! SUBSCRIBE for more T..."

Eurweb.com,2019-03-04T21:01:38Z,Wendy Williams Returns to Talk Show After Two Months and Addresses Husband's Cheating Rumors - Eurweb.com,"‚ÄúI‚Äôm sorry it took me almost 50 days,‚Äù Wendy said on Monday's show. ‚ÄúI know it‚Äôs been a long time. I‚Äôm sorry, it‚Äôs not going to happen anymore.‚Äù"

Essence.com,2019-03-04T19:52:30Z,Woman Who Paid R. Kelly's Bail Receives Bomb Threat at Daycare - Essence,"The daycare belonging to the woman who paid R. Kelly‚Äôs bail last month was on the receiving end of a bomb scare this weekend, according to reports."

Justjared.com,2019-03-04T19:44:53Z,Joey King & Patricia Arquette's 'The Act' Gets Jaw-Dropping New Trailer from Hulu - Just Jared,Watch the shocking trailer now...

IGN,2019-03-04T19:34:52Z,New LEGO Avengers: Endgame Set Leak Reveals Possible Battle Scene - IGN,Leaked Marvel LEGO sets could tease certain scenes and characters in the upcoming Avengers: Endgame.

The Washington Post,2019-03-04T19:33:01Z,Online trolls won‚Äôt leave Meghan and Catherine alone. Now Britain‚Äôs royal family is fighting back. - The Washington Post,"Both Meghan and Catherine, Duchess of Cambridge have been the focus of relentless media attention and social media trolls."

6sqft.com,2019-03-04T19:30:15Z,"Emily Ratajkowski and millionaire hubby live rent free thanks to city's loft law, Noho landlord says - 6Sqft","The loft building at 49 Bleecker Street in Noho. Image: Google maps. There have been a lot of discussions recently about the city's lack of affordable living space causing artists to flee the city, and about the relevance of regulations like the Loft Law, cre‚Ä¶"

Etonline.com,2019-03-04T19:07:42Z,Joanna Gaines to Remodel Jennifer Lopez's Home in Malibu - Entertainment Tonight,Lopez is a known fan of the 'Fixer Upper' star!

Youtube.com,2019-03-04T19:00:00Z,Netflix's Triple Frontier Clip - ‚ÄúKids In The House‚Äù - IGN,"Watch this exclusive ""Kids in the House"" clip for Triple Frontier, available on Netflix on March 13, 2019. Triple Frontier: Ben Affleck, Oscar Isaac, and Cha..."

Cheatsheet.com,2019-03-04T17:58:25Z,Meghan Markle and Prince Harry Squeeze in a Date Night at the Theater - The Cheat Sheet,"Amidst a busy schedule, Meghan Markle and Prince Harry fit in a night at the theater."

Cheatsheet.com,2019-03-04T17:42:46Z,"Has Jordyn Woods Been Replaced? Here's Everything You Need To Know About Kylie Jenner's Other BFF, Heather Sanders - The Cheat Sheet","Though no one knows if Kylie Jenner will ever forgive Jordyn Woods, she has reportedly been leaning on her other best friend for support."

Blabbermouth.net,2019-03-04T17:13:04Z,"Slipknot Announces 'Knotfest Roadshow' Tour With Volbeat, Gojira And Behemoth - BLABBERMOUTH.NET","SLIPKNOT had announced a live return, unveiling details of their massive ""Knotfest Roadshow"" headline tour set to traverse across North America this summer. VOLBEAT, GOJIRA and BEHEMOTH will join a..."

Fox News,2019-03-04T17:09:06Z,'American Idol' contestant inspires Katy Perry to reveal 'sweet' first encounter with Orlando Bloom - Fox News,"""American Idol"" judge Katy Perry couldn't help but gush about her future husband Orlando Bloom during the TV show's series premiere Sunday."

Washingtonexaminer.com,2019-03-04T17:07:00Z,Why does Steven Spielberg hate Netflix? - Washington Examiner,"Steven Spielberg is continuing his campaign against Netflix, arguing that the streaming service should have no place at the Oscars. Has he even seen ‚ÄúThe Ballad of Buster Scruggs‚Äù?"

Youtube.com,2019-03-04T16:53:35Z,Rob Kardashian & Blac Chyna On Speaking Terms Again for Dream | TMZ NEWSROOM TODAY - TMZ,Rob Kardashian and Blac Chyna weren't faking it when they exchanged Twitter pleasantries -- the two are actively communicating and repairing their relationsh...

