source,date,title,description
Ganjapreneur.com,2019-02-28T17:36:01Z,Study Reveals Broad Therapeutic Impact of THC - Ganjapreneur,"A new study by researchers at the University of New Mexico has shown that THC may be just as medicinally valuable as CBD â€” and perhaps even more so, EurekAlertÂ reports.    Public perception of the medicinal powers"
Ajc.com,2019-02-28T17:18:18Z,"DOT fines Delta $750,000 for long tarmac delays - Atlanta Journal Constitution","The U.S. Department of Transportation is fining Delta $750,000 for long tarmac delays in violation of the tarmac delay rule."
Ajc.com,2019-02-28T17:11:53Z,"Students reportedly drinking rum, bourbon extract to get drunk - Atlanta Journal Constitution",High schoolers are using popular baking ingredients to get drunk and theyâ€™re getting them from...
CNBC,2019-02-28T16:50:16Z,"Trump got a strong economy in 2018, but first quarter of this year looks weak - CNBC","A surprise jump in business spending boosted fourth-quarter growth to 2.6 percent, but economists say the first quarter could grow at half that pace due to the government shutdown and a sluggish consumer."
Biospace.com,2019-02-28T16:49:17Z,Novavax RSV Vaccine Fails to Hit Primary Endpoint in Phase III Trial - BioSpace,Shares of Maryland-based Novavax are down 66 percent in morning trading after the company announced its respiratory syncytial virus (RSV) vaccine called ResVax failed to hit its primary endpoint in a Phase III trial.
CNBC,2019-02-28T16:46:59Z,"Target goes preppy, again, in teaming up with Vineyard Vines - CNBC","Target is teaming up with Vineyard Vines, the clothing and accessories brand best known for its shirts embellished with a logo of a smiling pink whale."
Theaircurrent.com,2019-02-28T16:34:52Z,Rolls-Royce withdrawal may signal fast-approaching Boeing 797 engine pick - The Air Current,"Rolls-Royce pulled its Ultrafan from consideration for Boeingâ€™s 7K7 New Mid-Market Airplane, reflecting the plane makerâ€™s 2025 development timeline and the engine makerâ€™s own recent painful lessons on product reliability. â€œWe do not want to promise to supportâ€_"
Thisisinsider.com,2019-02-28T16:32:33Z,Anheuser-Busch rolls out more alcohol-free beers - INSIDER,AB InBev is testing an alcohol-free version of Budweiser and expects the trend of alcohol-free drinks to continue.
Freep.com,2019-02-28T16:14:00Z,"Little Caesars free pizza coupon is fake, possibly a virus - Detroit Free Press",Little Caesars is warning consumers not to take the bait on a free pizza coupon. It's a fake.
Adage.com,2019-02-28T16:13:01Z,Martha Stewart is cooking up cannabis products | CMO Strategy - AdAge.com,"Lifestyle guru Martha Stewart is teaming up with the world's largest cannabis company, taking on an advisory role to develop products."
